DATE,M1,M2,Bank_Rate,Stock_Index,Unemployement_Rate,Federal_Reserve_Rate,Inflation_Rate
Jan-06,1379.5,6713.2,7.5,8250.92,4.7,100,3.940136168
Feb-06,1378.4,6730.6,7.5,8408.73,4.8,100.24,3.57363193
Mar-06,1383.2,6803.4,7.75,8482.77,4.7,100.53,3.360805099
Apr-06,1381.4,6867,7.75,8773.99,4.7,100.03,3.550068539
May-06,1387.2,6805.4,8,8406.23,4.6,97.85,3.90021578
Jun-06,1375.4,6859.2,8.25,8367.76,4.6,99.18,4.096653751
Jul-06,1372.4,6881.2,8.25,8505.21,4.7,99.36,4.022664032
Aug-06,1372.4,6900.5,8.25,8690.86,4.7,98.82,3.851438759
Sep-06,1364.4,6928.1,8.25,8913.7,4.5,98.55,1.992097749
Oct-06,1370.3,6971,8.25,9181.77,4.4,98.34,1.396531425
Nov-06,1370.8,7033.9,8.25,9283.14,4.5,97.35,1.94957437
Dec-06,1366.6,7108.9,8.25,9552.22,4.4,96.77,2.492651488
Jan-07,1371.7,7107.2,8.25,9654.34,4.6,97.8,2.054514742
Feb-07,1363,7119,8.25,9433.35,4.5,97.68,2.391436625
Mar-07,1366.5,7217.1,8.25,9396.89,4.4,97.42,2.759763085
Apr-07,1378,7306.2,8.25,9739.75,4.5,96.11,2.559878495
May-07,1380.9,7250.4,8.25,9933.9,4.4,95.38,2.673818476
Jun-07,1368.2,7294.5,8.25,9576.4,4.6,95.12,2.657148167
Jul-07,1371.8,7297.9,8.25,9032.54,4.7,93.71,2.291435522
Aug-07,1376.3,7357.1,8.25,9011.57,4.6,94.05,1.879671447
Sep-07,1375.7,7377.7,7.75,9283,4.7,92.85,2.794416378
Oct-07,1379.4,7389.6,7.5,9411.04,4.7,90.73,3.547040458
Nov-07,1371.8,7448.7,7.5,8681.91,4.7,89.66,4.280339658
Dec-07,1373.4,7516.8,7.25,8300.68,5,90.51,4.02664488
Jan-08,1377.7,7515,6,7941.53,5,89.97,4.205031811
Feb-08,1380.4,7599,6,7342.84,4.9,89,4.059437762
Mar-08,1388.7,7733.6,5.25,7240.75,5.1,87.2,3.897937201
Apr-08,1391.4,7781.2,5,7734.25,5,86.82,3.82949095
May-08,1393.4,7723.3,5,7358.78,5.4,87.14,4.007048491
Jun-08,1404.6,7746.8,5,6204.95,5.6,87.73,4.818013153
Jul-08,1421.1,7760.9,5,6452.36,5.8,87.33,5.351718445
Aug-08,1407.4,7758.5,5,6324.12,6.1,89.67,5.171936665
Sep-08,1462,7828.8,5,6017.04,6.1,92.03,4.83454927
Oct-08,1473.8,7932,4,4414.41,6.5,97.99,3.66313819
Nov-08,1514.6,8024,4,3751.49,6.8,99.16,1.093912372
Dec-08,1601.7,8244.4,3.25,3848.42,7.3,97.55,-0.022230473
Jan-09,1582.8,8292.3,3.25,3041.66,7.8,98.52,-0.113650577
Feb-09,1567.2,8321.9,3.25,2518.78,8.3,101.21,0.008462783
Mar-09,1578.9,8458.9,3.25,2868.92,8.7,101.54,-0.447478461
Apr-09,1611.6,8460.1,3.25,3520.14,9,98.89,-0.577991582
May-09,1617.5,8447.2,3.25,3972.66,9.4,95.73,-1.020955556
Jun-09,1658.8,8460.2,3.25,3899.08,9.5,94.82,-1.23679145
Jul-09,1662.5,8426,3.25,4366.76,9.5,94.38,-1.978198975
Aug-09,1660,8404.8,3.25,4786.43,9.6,93.15,-1.494954535
Sep-09,1664.9,8412.5,3.25,4928.36,9.8,92.5,-1.387524618
Oct-09,1677.7,8443.3,3.25,4649.96,10,91.24,-0.224219478
Nov-09,1683,8517.5,3.25,4801.66,9.9,90.77,1.896489585
Dec-09,1692.8,8560.3,3.25,4721.02,9.9,91.12,2.775254206
Jan-10,1674.7,8484.5,3.25,4548.89,9.8,90.99,2.587348961
Feb-10,1699.8,8528.9,3.25,4679.7,9.8,92.18,2.12852175
Mar-10,1711.9,8596.3,3.25,5040.81,9.9,91.29,2.260430129
Apr-10,1699,8621.8,3.25,5042.8,9.9,90.64,2.182773961
May-10,1710.1,8603.3,3.25,4512.14,9.6,93.26,1.983742011
Jun-10,1731.6,8625.6,3.25,4285.75,9.4,93.64,1.115317738
Jul-10,1724,8597.7,3.25,4727.6,9.4,92.02,1.33186959
Aug-10,1748.7,8626.6,3.25,4409.52,9.5,91.21,1.143613283
Sep-10,1766.2,8668.2,3.25,4672.02,9.5,90.24,1.112105368
Oct-10,1780.4,8729.5,3.25,4743.17,9.4,87.68,1.159941738
Nov-10,1828.4,8794.6,3.25,4573.83,9.8,87.8,1.07870577
Dec-10,1836.7,8878.9,3.25,4958.62,9.3,88.5,1.427554798
Jan-11,1846.3,8872.6,3.25,5117.2,9.1,87.41,1.686482098
Feb-11,1870.1,8909.5,3.25,5319.21,9,86.79,2.102637011
Mar-11,1896.5,9024.5,3.25,5150.94,9,86.02,2.585526825
Apr-11,1897,9081,3.25,5254.14,9.1,84.56,3.030837022
May-11,1941.6,9052.4,3.25,5062.83,9,84.65,3.400494118
Jun-11,1963.4,9139.3,3.25,4934.25,9.1,84.5,3.442382406
Jul-11,1996,9288.4,3.25,4734.73,9,83.9,3.517292591
Aug-11,2115.4,9479.3,3.25,4293.81,9,84.56,3.686212648
Sep-11,2120,9517.2,3.25,3805.35,9,87.27,3.741737362
Oct-11,2128.5,9566.1,3.25,4267.3,8.8,87.93,3.46165546
Nov-11,2182,9650.2,3.25,4038.02,8.6,88.54,3.393206262
Dec-11,2165.7,9746.6,3.25,4062.88,8.5,89.35,3.016121142
Jan-12,2201.8,9779.5,3.25,4405.28,8.3,88.73,2.96439087
Feb-12,2207.1,9803.7,3.25,4617.41,8.3,87.17,2.856975448
Mar-12,2227.8,9918.9,3.25,4795.51,8.2,87.65,2.550082523
Apr-12,2237.3,9964.1,3.25,4681.78,8.2,87.88,2.247711995
May-12,2256.2,9897.3,3.25,4210.04,8.2,89.27,1.723013438
Jun-12,2275.3,9974.3,3.25,4458.64,8.2,90.51,1.640342959
Jul-12,2315,10019.6,3.25,4442.52,8.2,89.95,1.40755873
Aug-12,2354.1,10083.9,3.25,4591.23,8.1,89.29,1.671880775
Sep-12,2386.6,10180.9,3.25,4755.31,7.8,87.98,1.930953416
Oct-12,2420.1,10261.3,3.25,4849.98,7.8,87.85,2.132771924
Nov-12,2441.2,10357.2,3.25,4888.95,7.7,88.25,1.780081818
Dec-12,2460.7,10546.2,3.25,5114.54,7.9,87.48,1.744204901
Jan-13,2476.7,10521.8,3.25,5403.37,8,87.4,1.670038661
Feb-13,2468.9,10495.5,3.25,5399.26,7.7,88.28,1.998045943
Mar-13,2476.3,10641.7,3.25,5487.67,7.5,88.76,1.507329732
Apr-13,2504.9,10669.8,3.25,5700.67,7.6,88.02,1.132372442
May-13,2523.5,10592.3,3.25,5788.05,7.5,88.42,1.380811594
Jun-13,2521,10656.7,3.25,5657.95,7.5,89.13,1.701240026
Jul-13,2542.3,10695.2,3.25,5958.06,7.3,89.69,1.867917102
Aug-13,2551.3,10750.8,3.25,5707.27,7.2,89.6,1.527089891
Sep-13,2585.5,10818.7,3.25,5967.76,7.2,89.15,1.088785271
